chromosome	index1	index2	gene	probability	annotation	index3	index4	value
chr4	24844750	24889811	PI4K2B|0.261|62.6%	0.261	.	24844751	24889811	75,180,0
chr4	24987945	25029217	ANAPC4|0.740|10.7%	0.740	.	24987946	25029217	200,55,0
chr4	25266532	25289464	SLC34A2|0.345|46.4%	0.345	.	25266533	25289464	125,130,0
chr4	25930429	26045851	RBPJ|0.906|3.9%	0.906	.	25930430	26045851	255,0,0
chr4	26092115	26101140	CCKAR|0.453|32.0%	0.453	.	26092116	26101140	150,105,0
chr4	26194643	26366013	TBC1D19|0.220|73.1%	0.220	.	26194644	26366013	50,205,0
chr4	26471560	26636101	STIM2|0.244|66.9%	0.244	.	26471561	26636101	75,180,0
chr4	30331134	30753569	PCDH7|0.889|4.7%	0.889	.	30331135	30753569	255,0,0
chr4	37131992	37269843	C4orf19|0.204|77.4%	0.204	.	37131993	37269843	50,205,0
chr4	37504736	37540953	PGM2|0.232|70.0%	0.232	.	37504737	37540953	75,180,0
chr4	37569114	37817191	TBC1D1|0.256|63.8%	0.256	.	37569115	37817191	75,180,0
chr4	38342184	38379523	KLF3|0.335|48.0%	0.335	.	38342185	38379523	125,130,0
chr4	38450657	38460984	TLR10|0.168|86.3%	0.168	.	38450658	38460984	25,230,0
chr4	38474274	38482807	TLR1|0.147|90.4%	0.147	.	38474275	38482807	0,255,0
chr4	38504617	38507555	TLR6|0.184|82.5%	0.184	.	38504618	38507555	25,230,0
chr4	38545831	38621819	FAM114A1|0.208|76.5%	0.208	.	38545832	38621819	50,205,0
chr4	38644759	38710937	TMEM156|0.131|93.2%	0.131	.	38644760	38710937	0,255,0
chr4	38723053	38804810	KLHL5|0.624|17.3%	0.624	.	38723054	38804810	200,55,0
chr4	38858172	38963822	WDR19|0.472|29.9%	0.472	.	38858173	38963822	175,80,0
chr4	38965470	39044390	RFC1|0.940|2.9%	0.940	.	38965471	39044390	255,0,0
chr4	39084867	39126748	KLB|0.312|52.1%	0.312	.	39084868	39126748	100,155,0
chr4	39137059	39155664	LIAS|0.189|81.2%	0.189	.	39137060	39155664	25,230,0
chr4	39176770	39205606	UGDH|0.905|4.0%	0.905	.	39176771	39205606	255,0,0
chr4	39228942	39316876	C4orf34|0.240|67.9%	0.240	.	39228943	39316876	75,180,0
chr4	39376204	39457977	UBE2K|0.769|9.4%	0.769	.	39376205	39457977	255,0,0
chr4	39500878	39655971	PDS5A|0.696|13.0%	0.696	.	39500879	39655971	200,55,0
chr4	39734918	39836267	N4BP2|0.443|33.1%	0.443	.	39734919	39836267	150,105,0
chr4	39874921	39922676	RHOH|0.396|39.0%	0.396	.	39874922	39922676	150,105,0
chr4	40120028	40326640	RBM47|0.626|17.2%	0.626	.	40120029	40326640	200,55,0
chr4	40446670	40506755	NSUN7|0.168|86.3%	0.168	.	40446671	40506755	25,230,0
chr4	40510995	40911245	APBB2|0.478|29.4%	0.478	.	40510996	40911245	175,80,0
chr4	40953684	40965202	UCHL1|0.846|6.2%	0.846	.	40953685	40965202	255,0,0
chr4	41057558	41395746	LIMCH1|0.320|50.5%	0.320	.	41057559	41395746	100,155,0
chr4	41440856	41445744	PHOX2B|0.658|14.9%	0.658	.	41440857	41445744	200,55,0
chr4	41631925	41652580	TMEM33|0.326|49.7%	0.326	.	41631926	41652580	125,130,0
chr4	41687279	41784307	SLC30A9|0.264|61.8%	0.264	.	41687280	41784307	75,180,0
chr4	42105146	42353879	ATP8A1|0.817|7.5%	0.817	.	42105147	42353879	255,0,0
chr4	44375189	44397453	GUF1|0.215|74.6%	0.215	.	44375190	44397453	50,205,0
chr4	44398925	44423369	GNPDA2|0.441|33.3%	0.441	.	44398926	44423369	150,105,0
chr4	45946340	46086561	GABRA2|0.402|38.2%	0.402	.	45946341	46086561	150,105,0
chr4	46615675	46690337	GABRA4|0.249|65.6%	0.249	.	46615676	46690337	75,180,0
chr4	46728335	47123202	GABRB1|0.398|38.7%	0.398	.	46728336	47123202	150,105,0
chr4	47140758	47160459	COMMD8|0.218|73.8%	0.218	.	47140759	47160459	50,205,0
chr4	47182166	47290260	ATP10D|0.122|94.7%	0.122	.	47182167	47290260	0,255,0
chr4	47290774	47534816	CORIN|0.225|71.8%	0.225	.	47290775	47534816	50,205,0
chr4	47544016	47611390	NFXL1|0.202|77.9%	0.202	.	47544017	47611390	50,205,0
chr4	47632752	47678276	CNGA1|0.785|8.8%	0.785	.	47632753	47678276	255,0,0
chr4	47713547	47736947	NPAL1|0.220|73.2%	0.220	.	47713548	47736947	50,205,0
chr4	47763166	47831030	TXK|0.144|91.2%	0.144	.	47763167	47831030	0,255,0
chr4	47832556	47966571	TEC|0.503|27.1%	0.503	.	47832557	47966571	175,80,0
chr4	48180205	48185921	SLC10A4|0.098|97.3%	0.098	.	48180206	48185921	0,255,0
chr4	48187065	48191181	ZAR1|0.182|83.1%	0.182	.	48187066	48191181	25,230,0
chr4	48194136	48477073	FRYL|0.302|54.0%	0.302	.	48194137	48477073	100,155,0
chr4	48527771	48558588	OCIAD1|0.155|89.0%	0.155	.	48527772	48558588	25,230,0
chr4	48582163	48603572	OCIAD2|0.143|91.2%	0.143	.	48582164	48603572	0,255,0
chr4	52404032	52477756	DCUN1D4|0.397|39.0%	0.397	.	52404033	52477756	150,105,0
chr4	52581628	52599203	SGCB|0.295|55.2%	0.295	.	52581629	52599203	100,155,0
chr4	53155966	53203747	USP46|0.536|23.9%	0.536	.	53155967	53203747	175,80,0
chr4	53423240	53427752	RASL11B|0.522|25.2%	0.522	.	53423241	53427752	175,80,0
chr4	53433909	53926865	SCFD2|0.142|91.4%	0.142	.	53433910	53926865	0,255,0
chr4	53938583	54020591	FIP1L1|0.654|15.2%	0.654	.	53938584	54020591	200,55,0
chr4	54020224	54152481	LNX1|0.396|39.1%	0.396	.	54020225	54152481	150,105,0
chr4	54570719	54625545	CHIC2|0.727|11.4%	0.727	.	54570720	54625545	200,55,0
chr4	54660954	54662879	GSX2|0.460|31.2%	0.460	.	54660955	54662879	150,105,0
chr4	54790203	54859168	PDGFRA|0.946|2.7%	0.946	.	54790204	54859168	255,0,0
chr4	55639415	55686519	KDR|0.538|23.7%	0.538	.	55639416	55686519	175,80,0
chr4	55907165	55932235	SRD5A3|0.299|54.6%	0.299	.	55907166	55932235	100,155,0
chr4	55956876	55987095	TMEM165|0.198|78.8%	0.198	.	55956877	55987095	50,205,0
chr4	55993416	56107754	CLOCK|0.490|28.2%	0.490	.	55993417	56107754	175,80,0
chr4	56117451	56143259	PDCL2|0.324|49.9%	0.324	.	56117452	56143259	125,130,0
chr4	56414572	56466001	EXOC1|0.226|71.7%	0.226	.	56414573	56466001	50,205,0
chr4	56509793	56594283	CEP135|0.649|15.6%	0.649	.	56509794	56594283	200,55,0
chr4	56899218	56948395	AASDH|0.147|90.4%	0.147	.	56899219	56948395	0,255,0
chr4	56954287	56996602	PPAT|0.888|4.7%	0.888	.	56954288	56996602	255,0,0
chr4	56996671	57022291	PAICS|0.903|4.1%	0.903	.	56996672	57022291	255,0,0
chr4	57028518	57064603	SRP72|0.741|10.6%	0.741	.	57028519	57064603	200,55,0
chr4	57208920	57242627	HOPX|0.261|62.6%	0.261	.	57208921	57242627	75,180,0
chr4	57468798	57493097	REST|0.259|63.1%	0.259	.	57468799	57493097	75,180,0
chr4	57524292	57539746	C4orf14|0.126|94.0%	0.126	.	57524293	57539746	0,255,0
chr4	57538664	57592091	POLR2B|0.518|25.7%	0.518	.	57538665	57592091	175,80,0
chr4	57591999	57671308	IGFBP7|0.586|19.8%	0.586	.	57592000	57671308	200,55,0
chr4	62045433	62620762	LPHN3|0.269|60.5%	0.269	.	62045434	62620762	75,180,0
chr4	65872240	66218104	EPHA5|0.411|37.2%	0.411	.	65872241	66218104	150,105,0
chr4	68020583	68099114	CENPC1|0.141|91.7%	0.141	.	68020584	68099114	0,255,0
chr4	68107040	68155650	STAP1|0.641|16.2%	0.641	.	68107041	68155650	200,55,0
chr4	68164076	68249484	UBA6|0.459|31.4%	0.459	.	68164077	68249484	150,105,0
chr4	68285700	68304399	GNRHR|0.477|29.5%	0.477	.	68285701	68304399	175,80,0
chr4	68369195	68432311	TMPRSS11D|0.217|74.1%	0.217	.	68369196	68432311	50,205,0
chr4	68457703	68511739	TMPRSS11A|0.211|75.5%	0.211	.	68457704	68511739	50,205,0
chr4	68601510	68678182	TMPRSS11F|0.120|95.0%	0.120	.	68601511	68678182	0,255,0
chr4	68774966	68794004	TMPRSS11B|0.162|87.7%	0.162	.	68774967	68794004	25,230,0
chr4	68858699	68898419	YTHDC1|0.368|42.8%	0.368	.	68858700	68898419	125,130,0
chr4	68995761	69045917	TMPRSS11E|0.289|56.4%	0.289	.	68995762	69045917	100,155,0
chr4	69085499	69116840	UGT2B17|0.088|98.0%	0.088	.	69085500	69116840	0,255,0
chr4	69828755	69852093	UGT2A3|0.392|39.6%	0.392	.	69828756	69852093	150,105,0
chr4	69996813	70013293	UGT2B7|0.089|97.9%	0.089	.	69996814	70013293	0,255,0
chr4	70627276	70661019	SULT1B1|0.129|93.6%	0.129	.	70627277	70661019	0,255,0
chr4	70741519	70760459	SULT1E1|0.211|75.7%	0.211	.	70741520	70760459	50,205,0
chr4	70855563	70861315	CSN2|0.143|91.2%	0.143	.	70855564	70861315	0,255,0
chr4	71142893	71151732	CSN3|0.221|72.9%	0.221	.	71142894	71151732	50,205,0
chr4	71298187	71310496	PROL1|0.074|98.9%	0.074	.	71298188	71310496	0,255,0
chr4	71372524	71383302	MUC7|0.122|94.7%	0.122	.	71372525	71383302	0,255,0
chr4	71492581	71507591	AMBN|0.183|82.7%	0.183	.	71492582	71507591	25,230,0
chr4	71773097	71775132	UTP3|0.138|92.1%	0.138	.	71773098	71775132	0,255,0
chr4	71806559	71891789	RUFY3|0.806|7.9%	0.806	.	71806560	71891789	255,0,0
chr4	71986927	72072755	MOBKL1A|0.631|16.8%	0.631	.	71986928	72072755	200,55,0
chr4	72078217	72115491	DCK|0.075|98.8%	0.075	.	72078218	72115491	0,255,0
chr4	72271866	72656663	SLC4A4|0.130|93.4%	0.130	.	72271867	72656663	0,255,0
chr4	72826295	72868798	GC|0.228|71.1%	0.228	.	72826296	72868798	50,205,0
chr4	73116384	73232642	NPFFR2|0.118|95.2%	0.118	.	73116385	73232642	0,255,0
chr4	73365550	73653380	ADAMTS3|0.313|51.7%	0.313	.	73365551	73653380	100,155,0
chr4	74139279	74154336	COX18|0.129|93.6%	0.129	.	74139280	74154336	0,255,0
chr4	74488869	74505996	ALB|0.811|7.8%	0.811	.	74488870	74505996	255,0,0
chr4	74520743	74540358	AFP|0.597|19.1%	0.597	.	74520744	74540358	200,55,0
chr4	74566325	74588582	AFM|0.236|69.1%	0.236	.	74566326	74588582	75,180,0
chr4	74657023	74705151	RASSF6|0.167|86.7%	0.167	.	74657024	74705151	25,230,0
chr4	74825121	74828295	IL8|0.592|19.4%	0.592	.	74825122	74828295	200,55,0
chr4	74921276	74923340	CXCL6|0.160|87.9%	0.160	.	74921277	74923340	25,230,0
chr4	74937876	74939062	PF4V1|0.083|98.4%	0.083	.	74937877	74939062	0,255,0
chr4	74953972	74968249	CXCL1|0.340|47.3%	0.340	.	74953973	74968249	125,130,0
chr4	75065659	75066541	PF4|0.118|95.2%	0.118	.	75065660	75066541	0,255,0
chr4	75071621	75072764	PPBP|0.406|37.7%	0.406	.	75071622	75072764	150,105,0
chr4	75169526	75183874	CXCL2|0.138|92.2%	0.138	.	75169527	75183874	0,255,0
chr4	75207854	75387673	MTHFD2L|0.189|81.0%	0.189	.	75207855	75387673	25,230,0
chr4	75393067	75398162	EPGN|0.408|37.5%	0.408	.	75393068	75398162	150,105,0
chr4	75449723	75473341	EREG|0.416|36.4%	0.416	.	75449724	75473341	150,105,0
chr4	75888992	75938920	BTC|0.435|33.9%	0.435	.	75888993	75938920	150,105,0
chr4	76623380	76658652	RCHY1|0.469|30.2%	0.469	.	76623381	76658652	150,105,0
chr4	76658677	76674260	THAP6|0.317|51.1%	0.317	.	76658678	76674260	100,155,0
chr4	76720727	76774745	CDKL2|0.179|83.8%	0.179	.	76720728	76774745	25,230,0
chr4	76786990	76817629	G3BP2|0.944|2.8%	0.944	.	76786991	76817629	255,0,0
chr4	76869027	76954388	USO1|0.873|5.2%	0.873	.	76869028	76954388	255,0,0
chr4	77000051	77042705	PPEF2|0.429|34.7%	0.429	.	77000052	77042705	150,105,0
chr4	77050832	77081190	NAAA|0.181|83.5%	0.181	.	77050833	77081190	25,230,0
chr4	77141646	77147686	CXCL9|0.130|93.4%	0.130	.	77141647	77147686	0,255,0
chr4	77161296	77163674	CXCL10|0.226|71.6%	0.226	.	77161297	77163674	50,205,0
chr4	77173974	77176376	CXCL11|0.470|30.1%	0.470	.	77173975	77176376	150,105,0
chr4	77214886	77252964	ART3|0.333|48.3%	0.333	.	77214887	77252964	125,130,0
chr4	77254841	77288679	NUP54|0.958|2.2%	0.958	.	77254842	77288679	255,0,0
chr4	77298917	77354059	SCARB2|0.305|53.4%	0.305	.	77298918	77354059	100,155,0
chr4	77446832	77451306	STBD1|0.105|96.6%	0.105	.	77446833	77451306	0,255,0
chr4	77575276	77923430	SHROOM3|0.365|43.3%	0.365	.	77575277	77923430	125,130,0
chr4	78035644	78038026	ANKRD56|0.254|64.2%	0.254	.	78035645	78038026	75,180,0
chr4	78089918	78178791	SEPT11|0.364|43.5%	0.364	.	78089919	78178791	125,130,0
chr4	78188202	78216152	CCNI|0.383|40.9%	0.383	.	78188203	78216152	125,130,0
chr4	78297550	78325286	CCNG2|0.452|32.0%	0.452	.	78297551	78325286	150,105,0
chr4	78651929	78752010	CXCL13|0.443|33.0%	0.443	.	78651930	78752010	150,105,0
chr4	78853564	78959574	CNOT6L|0.530|24.4%	0.530	.	78853565	78959574	175,80,0
chr4	79198119	79684447	FRAS1|0.621|17.5%	0.621	.	79198120	79684447	200,55,0
chr4	79691765	79750627	ANXA3|0.224|72.3%	0.224	.	79691766	79750627	50,205,0
chr4	80027330	80079606	PAQR3|0.526|25.0%	0.526	.	80027331	80079606	175,80,0
chr4	81045748	81213650	ANTXR2|0.383|41.1%	0.383	.	81045749	81213650	125,130,0
chr4	81325447	81344504	PRDM8|0.366|43.3%	0.366	.	81325448	81344504	125,130,0
chr4	81406765	81431194	FGF5|0.944|2.8%	0.944	.	81406766	81431194	255,0,0
chr4	81475946	82103918	C4orf22|0.174|85.2%	0.174	.	81475947	82103918	25,230,0
chr4	82171142	82197709	BMP3|0.470|30.2%	0.470	.	82171143	82197709	150,105,0
chr4	82228860	82355212	PRKG2|0.382|41.2%	0.382	.	82228861	82355212	125,130,0
chr4	82567242	82612085	RASGEF1B|0.629|16.9%	0.629	.	82567243	82612085	200,55,0
chr4	83493490	83514173	HNRNPD|0.309|52.5%	0.309	.	83493491	83514173	100,155,0
chr4	83769713	83939034	SCD5|0.299|54.6%	0.299	.	83769714	83939034	100,155,0
chr4	83958838	84040715	SEC31A|0.473|29.9%	0.473	.	83958839	84040715	175,80,0
chr4	84040860	84060146	THAP9|0.218|73.7%	0.218	.	84040861	84060146	50,205,0
chr4	84065166	84151006	LIN54|0.262|62.4%	0.262	.	84065167	84151006	75,180,0
chr4	84175262	84215994	COPS4|0.572|21.0%	0.572	.	84175263	84215994	175,80,0
chr4	84230238	84254935	PLAC8|0.270|60.4%	0.270	.	84230239	84254935	75,180,0
chr4	84404002	84425091	COQ2|0.195|79.5%	0.195	.	84404003	84425091	50,205,0
chr4	84435493	84475330	HPSE|0.147|90.5%	0.147	.	84435494	84475330	0,255,0
chr4	84596195	84601900	MRPS18C|0.127|94.0%	0.127	.	84596196	84601900	0,255,0
chr4	84676247	84746052	AGPAT9|0.224|72.3%	0.224	.	84676248	84746052	50,205,0
chr4	85633459	85638411	NKX6-1|0.334|48.2%	0.334	.	85633460	85638411	125,130,0
chr4	85723080	85789363	CDS1|0.226|71.7%	0.226	.	85723081	85789363	50,205,0
chr4	85809718	86106568	WDFY3|0.385|40.8%	0.385	.	85809719	86106568	125,130,0
chr4	86615290	87142847	ARHGAP24|0.456|31.7%	0.456	.	86615291	87142847	150,105,0
chr4	87156654	87593320	MAPK10|0.922|3.5%	0.922	.	87156655	87593320	255,0,0
chr4	87734908	87955326	PTPN13|0.557|22.1%	0.557	.	87734909	87955326	175,80,0
chr4	87963644	87989440	SLC10A6|0.199|78.5%	0.199	.	87963645	87989440	50,205,0
chr4	88016382	88032599	C4orf36|0.134|92.8%	0.134	.	88016383	88032599	0,255,0
chr4	88301237	88360698	KLHL8|0.212|75.5%	0.212	.	88301238	88360698	50,205,0
chr4	88443964	88463062	HSD17B13|0.275|59.3%	0.275	.	88443965	88463062	100,155,0
chr4	88477019	88531347	HSD17B11|0.285|56.9%	0.285	.	88477020	88531347	100,155,0
chr4	88562758	88598521	NUDT9|0.150|90.0%	0.150	.	88562759	88598521	25,230,0
chr4	88613523	88669530	SPARCL1|0.208|76.4%	0.208	.	88613524	88669530	50,205,0
chr4	88748704	88757049	DSPP|0.802|8.2%	0.802	.	88748705	88757049	255,0,0
chr4	88790482	88804534	DMP1|0.607|18.5%	0.607	.	88790483	88804534	200,55,0
chr4	88939756	88952098	IBSP|0.293|55.7%	0.293	.	88939757	88952098	100,155,0
chr4	88973092	88986968	MEPE|0.310|52.4%	0.310	.	88973093	88986968	100,155,0
chr4	89115825	89123586	SPP1|0.593|19.4%	0.593	.	89115826	89123586	200,55,0
chr4	89147843	89217952	PKD2|0.861|5.7%	0.861	.	89147844	89217952	255,0,0
chr4	89230440	89299035	ABCG2|0.144|91.0%	0.144	.	89230441	89299035	0,255,0
chr4	89402076	89424912	PPM1K|0.998|0.4%	0.998	.	89402077	89424912	255,0,0
chr4	89518914	89583271	HERC6|0.167|86.5%	0.167	.	89518915	89583271	25,230,0
chr4	89597290	89646334	HERC5|0.348|46.0%	0.348	.	89597291	89646334	125,130,0
chr4	89732596	89848716	HERC3|0.333|48.4%	0.333	.	89732597	89848716	125,130,0
chr4	89836088	89838409	NAP1L5|0.453|32.0%	0.453	.	89836089	89838409	150,105,0
chr4	89866128	90197346	FAM13A1|0.196|79.1%	0.196	.	89866129	90197346	50,205,0
chr4	90252990	90255073	TIGD2|0.209|76.2%	0.209	.	90252991	90255073	50,205,0
chr4	90865727	90978489	SNCA|0.764|9.7%	0.764	.	90865728	90978489	255,0,0
chr4	91019705	91094803	MMRN1|0.227|71.3%	0.227	.	91019706	91094803	50,205,0
chr4	93444830	94914730	GRID2|0.420|35.8%	0.420	.	93444831	94914730	150,105,0
chr4	94969064	94970244	ATOH1|0.809|7.9%	0.809	.	94969065	94970244	255,0,0
chr4	95348216	95431462	SMARCAD1|0.400|38.5%	0.400	.	95348217	95431462	150,105,0
chr4	95592060	95808400	PDLIM5|0.311|52.2%	0.311	.	95592061	95808400	100,155,0
chr4	95898150	96295190	BMPR1B|0.927|3.3%	0.927	.	95898151	96295190	255,0,0
chr4	96308711	96689031	UNC5C|0.709|12.3%	0.709	.	96308712	96689031	200,55,0
chr4	96980261	96981648	PDHA2|0.399|38.7%	0.399	.	96980262	96981648	150,105,0
chr4	99401549	99584031	RAP1GDS1|0.333|48.4%	0.333	.	99401550	99584031	125,130,0
chr4	99612434	99798750	TSPAN5|0.428|34.9%	0.428	.	99612435	99798750	150,105,0
chr4	100135902	100202976	METAP1|0.647|15.7%	0.647	.	100135903	100202976	200,55,0
chr4	100263854	100284472	ADH4|0.275|59.3%	0.275	.	100263855	100284472	100,155,0
chr4	100342817	100359426	ADH6|0.148|90.2%	0.148	.	100342818	100359426	0,255,0
chr4	100552440	100575548	ADH7|0.231|70.4%	0.231	.	100552441	100575548	50,205,0
chr4	100686888	100704197	RG9MTD2|0.238|68.5%	0.238	.	100686889	100704197	75,180,0
chr4	100715021	100763425	MTTP|0.433|34.2%	0.433	.	100715022	100763425	150,105,0
chr4	100957003	101010367	DAPP1|0.272|60.1%	0.272	.	100957004	101010367	75,180,0
chr4	101088264	101090535	H2AFZ|0.985|1.1%	0.985	.	101088265	101090535	255,0,0
chr4	101326051	101330648	DDIT4L|0.337|47.7%	0.337	.	101326052	101330648	125,130,0
chr4	102163609	102487376	PPP3CA|0.885|4.8%	0.885	.	102163610	102487376	255,0,0
chr4	102930786	103214990	BANK1|0.210|75.9%	0.210	.	102930787	103214990	50,205,0
chr4	103401843	103485654	SLC39A8|0.250|65.4%	0.250	.	103401844	103485654	75,180,0
chr4	103641517	103757506	NFKB1|0.946|2.7%	0.946	.	103641518	103757506	255,0,0
chr4	103771690	103901196	MANBA|0.201|78.2%	0.201	.	103771691	103901196	50,205,0
chr4	104009648	104029160	CISD2|0.280|58.1%	0.280	.	104009649	104029160	100,155,0
chr4	104160806	104217379	NHEDC2|0.212|75.4%	0.212	.	104160807	104217379	50,205,0
chr4	104218231	104240473	BDH2|0.263|62.2%	0.263	.	104218232	104240473	75,180,0
chr4	104246411	104339015	CENPE|0.815|7.6%	0.815	.	104246412	104339015	255,0,0
chr4	104730073	104860422	TACR3|0.193|80.0%	0.193	.	104730074	104860422	50,205,0
chr4	105608911	105635500	CXXC4|0.570|21.1%	0.570	.	105608912	105635500	175,80,0
chr4	106286480	106419126	TET2|0.123|94.5%	0.123	.	106286481	106419126	0,255,0
chr4	106509683	106614676	PPA2|0.106|96.6%	0.106	.	106509684	106614676	0,255,0
chr4	106849389	106988331	GSTCD|0.384|40.9%	0.384	.	106849390	106988331	125,130,0
chr4	107036053	107112273	NPNT|0.281|57.8%	0.281	.	107036054	107112273	100,155,0
chr4	107456301	107489831	SCYE1|0.184|82.4%	0.184	.	107456302	107489831	25,230,0
chr4	108062417	108176903	DKK2|0.529|24.5%	0.529	.	108062418	108176903	175,80,0
chr4	108754271	108860868	PAPSS1|0.468|30.3%	0.468	.	108754272	108860868	150,105,0
chr4	109130318	109175780	HADH|0.152|89.7%	0.152	.	109130319	109175780	25,230,0
chr4	109188149	109309027	LEF1|0.939|2.9%	0.939	.	109188150	109309027	255,0,0
chr4	109882656	109903658	AGXT2L1|0.180|83.7%	0.180	.	109882657	109903658	25,230,0
chr4	109954303	110443248	COL25A1|0.250|65.4%	0.250	.	109954304	110443248	75,180,0
chr4	110574319	110681058	SEC24B|0.250|65.3%	0.250	.	110574320	110681058	75,180,0
chr4	110700813	110829331	CCDC109B|0.186|81.9%	0.186	.	110700814	110829331	25,230,0
chr4	110854139	110870660	PLA2G12A|0.193|79.9%	0.193	.	110854140	110870660	50,205,0
chr4	110968598	110985312	RRH|0.321|50.4%	0.321	.	110968599	110985312	100,155,0
chr4	111053498	111152860	EGF|0.520|25.5%	0.520	.	111053499	111152860	175,80,0
chr4	111186450	111339258	ELOVL6|0.093|97.7%	0.093	.	111186451	111339258	0,255,0
chr4	111616677	111703938	ENPEP|0.312|52.0%	0.312	.	111616678	111703938	100,155,0
chr4	111758030	111782611	PITX2|0.977|1.4%	0.977	.	111758031	111782611	255,0,0
chr4	113286126	113329678	C4orf32|0.176|84.7%	0.176	.	113286127	113329678	25,230,0
chr4	113372429	113410652	C4orf16|0.237|68.7%	0.237	.	113372430	113410652	75,180,0
chr4	113416231	113426508	TIFA|0.152|89.6%	0.152	.	113416232	113426508	25,230,0
chr4	113437947	113583211	ALPK1|0.219|73.4%	0.219	.	113437948	113583211	50,205,0
chr4	113654124	113656777	NEUROG2|0.391|39.8%	0.391	.	113654125	113656777	150,105,0
chr4	113777568	113798190	LARP7|0.528|24.7%	0.528	.	113777569	113798190	175,80,0
chr4	114190280	114529333	ANK2|0.949|2.6%	0.949	.	114190281	114529333	255,0,0
chr4	114591636	114902177	CAMK2D|0.209|76.3%	0.209	.	114591637	114902177	50,205,0
chr4	115040888	115120327	ARSJ|0.139|92.0%	0.139	.	115040889	115120327	0,255,0
chr4	115739413	115817463	UGT8|0.614|18.0%	0.614	.	115739414	115817463	200,55,0
chr4	115968377	116254481	NDST4|0.584|20.0%	0.584	.	115968378	116254481	200,55,0
chr4	118224157	118226180	TRAM1L1|0.157|88.5%	0.157	.	118224158	118226180	25,230,0
chr4	119174212	119399235	NDST3|0.490|28.2%	0.490	.	119174213	119399235	175,80,0
chr4	119421864	119493370	PRSS12|0.336|47.9%	0.336	.	119421865	119493370	125,130,0
chr4	119863426	119976702	SEC24D|0.669|14.4%	0.669	.	119863427	119976702	200,55,0
chr4	120029443	120201841	SYNPO2|0.398|38.8%	0.398	.	120029444	120201841	150,105,0
chr4	120276468	120328383	MYOZ2|0.537|23.7%	0.537	.	120276469	120328383	175,80,0
chr4	120353238	120435239	USP53|0.342|46.9%	0.342	.	120353239	120435239	125,130,0
chr4	120457853	120462766	FABP2|0.225|71.9%	0.225	.	120457854	120462766	50,205,0
chr4	120634999	120769429	PDE5A|0.274|59.5%	0.274	.	120635000	120769429	100,155,0
chr4	121200039	121207411	MAD2L1|0.990|0.9%	0.990	.	121200040	121207411	255,0,0
chr4	121835379	122063463	PRDM5|0.484|28.7%	0.484	.	121835380	122063463	175,80,0
chr4	122808597	122837585	ANXA5|0.564|21.5%	0.564	.	122808598	122837585	175,80,0
chr4	122941921	122957626	EXOSC9|0.313|51.8%	0.313	.	122941922	122957626	100,155,0
chr4	122957990	122964468	CCNA2|0.998|0.4%	0.998	.	122957991	122964468	255,0,0
chr4	122965088	123011092	BBS7|0.291|56.0%	0.291	.	122965089	123011092	100,155,0
chr4	123019632	123092285	TRPC3|0.443|33.1%	0.443	.	123019633	123092285	150,105,0
chr4	123519617	123570407	ADAD1|0.191|80.3%	0.191	.	123519618	123570407	25,230,0
chr4	123592079	123597100	IL2|0.553|22.5%	0.553	.	123592080	123597100	175,80,0
chr4	123753220	123761662	IL21|0.125|94.3%	0.125	.	123753221	123761662	0,255,0
chr4	123873306	123885547	BBS12|0.121|94.9%	0.121	.	123873307	123885547	0,255,0
chr4	123967312	124038840	FGF2|0.968|1.8%	0.968	.	123967313	124038840	255,0,0
chr4	124033255	124063573	NUDT6|0.410|37.3%	0.410	.	124033256	124063573	150,105,0
chr4	124063674	124460050	SPATA5|0.257|63.7%	0.257	.	124063675	124460050	75,180,0
chr4	124537405	124544357	SPRY1|0.928|3.2%	0.928	.	124537406	124544357	255,0,0
chr4	125804915	125851382	ANKRD50|0.168|86.4%	0.168	.	125804916	125851382	25,230,0
chr4	126457003	126633537	FAT4|0.317|51.1%	0.317	.	126457004	126633537	100,155,0
chr4	128773569	128857374	INTU|0.191|80.5%	0.191	.	128773570	128857374	25,230,0
chr4	128871023	128914896	SLC25A31|0.439|33.5%	0.439	.	128871024	128914896	150,105,0
chr4	128922902	128973974	HSPA4L|0.701|12.7%	0.701	.	128922903	128973974	200,55,0
chr4	129021494	129039800	PLK4|0.586|19.8%	0.586	.	129021495	129039800	200,55,0
chr4	129061026	129106554	MFSD8|0.171|85.7%	0.171	.	129061027	129106554	25,230,0
chr4	129409846	129429434	PGRMC2|0.341|47.1%	0.341	.	129409847	129429434	125,130,0
chr4	129950228	130015829	PHF17|0.796|8.3%	0.796	.	129950229	130015829	255,0,0
chr4	130024601	130234214	SCLT1|0.418|36.0%	0.418	.	130024602	130234214	150,105,0
chr4	130234278	130253292	C4orf33|0.223|72.5%	0.223	.	130234279	130253292	50,205,0
chr4	138659521	138673079	PCDH18|0.277|58.7%	0.277	.	138659522	138673079	100,155,0
chr4	139304697	139382953	SLC7A11|0.314|51.5%	0.314	.	139304698	139382953	100,155,0
chr4	140156392	140186541	CCRN4L|0.348|45.9%	0.348	.	140156393	140186541	125,130,0
chr4	140430520	140443155	NDUFC1|0.154|89.2%	0.154	.	140430521	140443155	25,230,0
chr4	140442125	140531972	NARG1|0.982|1.2%	0.982	.	140442126	140531972	255,0,0
chr4	140594410	140616511	RAB33B|0.249|65.6%	0.249	.	140594411	140616511	75,180,0
